Wall time,Step,Value
1618336635.931335,137,0.48828136920928955
1618336692.211819,138,0.4939602315425873
1618336748.5111537,139,0.4782019555568695
1618336806.6109016,140,0.5024781823158264
1618336863.1748915,141,0.48927003145217896
1618336919.7799878,142,0.4789707362651825
1618336976.2979004,143,0.505989134311676
1618337032.832803,144,0.5091633796691895
1618337090.1078136,145,0.4704373776912689
1618337146.423539,146,0.4639919698238373
1618337202.717123,147,0.4735868275165558
1618337259.0101714,148,0.46390223503112793
1618337315.324225,149,0.465154230594635
1618337371.609641,150,0.473800927400589
1618337515.860286,151,0.47978633642196655
1618337659.6527922,152,0.4568631947040558
1618337715.9003406,153,0.4595009386539459
1618337772.1852756,154,0.4486812651157379
1618337828.4964592,155,0.45512473583221436
1618337884.78264,156,0.4931568205356598
1618337941.091598,157,0.4677391052246094
1618337997.414869,158,0.4565889537334442
1618338053.7287169,159,0.46034955978393555
1618338110.0186958,160,0.48554831743240356
1618338166.352317,161,0.48014146089553833
1618338222.6940866,162,0.47821274399757385
1618338278.9904182,163,0.5025789737701416
1618338335.274823,164,0.4674835205078125
1618338391.7367065,165,0.4975775182247162
1618338448.0931745,166,0.44892558455467224
1618338504.4192064,167,0.4423193037509918
1618338560.7790313,168,0.4520578682422638
1618338617.088416,169,0.4254031479358673
1618338673.4136424,170,0.4337858557701111
1618338729.7536118,171,0.43283602595329285
1618338786.0401325,172,0.43951544165611267
1618338842.3321774,173,0.42684420943260193
1618338898.6644378,174,0.43970176577568054
1618338954.9581654,175,0.43015795946121216
1618339100.4028828,176,0.455719918012619
1618339244.751946,177,0.45972785353660583
1618339301.0279076,178,0.44254136085510254
1618339357.37812,179,0.43795040249824524
1618339413.7491364,180,0.44632411003112793
1618339470.0910747,181,0.42751893401145935
1618339526.6251092,182,0.47621944546699524
1618339582.9929698,183,0.4274156093597412
1618339639.3677208,184,0.4260959029197693
1618339697.9452727,185,0.44067123532295227
1618339754.6038916,186,0.4499966502189636
1618339811.261466,187,0.41963738203048706
1618339867.9555984,188,0.41740667819976807
1618339924.574606,189,0.41078710556030273
1618339981.4971402,190,0.4582151174545288
1618340038.234097,191,0.44465765357017517
1618340094.595838,192,0.42571741342544556
1618340150.9240117,193,0.4722835123538971
1618340207.252188,194,0.44346684217453003
1618340263.586273,195,0.4327317774295807
1618340319.9835827,196,0.41451239585876465
1618340376.3364515,197,0.41865620017051697
1618340432.6736898,198,0.4201759099960327
1618340488.9693384,199,0.4070335626602173
1618340545.296714,200,0.42978206276893616
1618340689.3069196,201,0.4172806739807129
1618340833.3664155,202,0.40647855401039124
1618340889.6813278,203,0.4001833498477936
1618340946.082796,204,0.4005681276321411
1618341002.4627745,205,0.4058603346347809
1618341058.7985382,206,0.3985457718372345
1618341115.1825109,207,0.39252495765686035
1618341171.633401,208,0.40102076530456543
1618341227.9780953,209,0.3951885998249054
1618341284.341964,210,0.4057123064994812
1618341340.6770432,211,0.40693897008895874
1618341397.0189831,212,0.39103448390960693
1618341453.4096673,213,0.394436240196228
1618341509.7984333,214,0.40258705615997314
1618341566.1287515,215,0.4057023823261261
1618341622.4562607,216,0.4171920418739319
1618341678.8117168,217,0.4079359471797943
1618341735.1267965,218,0.42532333731651306
1618341791.4688518,219,0.4183497130870819
1618341847.825113,220,0.4179677367210388
1618341904.182317,221,0.4230402112007141
1618341960.5366924,222,0.4092918038368225
1618342016.8526204,223,0.3915160298347473
1618342073.2231495,224,0.4110345244407654
1618342129.5706272,225,0.3987354040145874
1618342274.0998585,226,0.42737314105033875
1618342418.1243532,227,0.41185495257377625
1618342474.4857304,228,0.41852933168411255
1618342530.898424,229,0.40085500478744507
1618342587.3202944,230,0.3764945864677429
1618342643.7015905,231,0.3749920129776001
1618342700.068683,232,0.3870868682861328
1618342756.4916632,233,0.3849555552005768
1618342812.8377123,234,0.37980547547340393
1618342869.1845253,235,0.4124196171760559
1618342925.5858257,236,0.39785951375961304
1618342981.9716325,237,0.3908165991306305
